name,death_cause,date,agency_name,state,state_name
Constable Darius Quimby,Gunfire,1791-01-03,Albany County Constable's Office,NY,New York
Sheriff Cornelius Hogeboom,Gunfire,1791-10-22,Columbia County Sheriff's Office,NY,New York
Deputy Sheriff Isaac Smith,Gunfire,1792-05-17,Westchester County Sheriff's Department,NY,New York
Sheriff Robert Maxwell,Gunfire,1797-11-12,Greenville County Sheriff's Office,SC,South Carolina
High Sheriff John Caldwell Cook,Gunfire,1804-10-16,Mecklenburg County Sheriff's Office,NC,North Carolina
Watchman Christian Luswanger,Other,1806-12-25,New York City Watch,NY,New York
Deputy Sheriff John A. Gooch,Gunfire,1807-03-07,Livingston County Sheriff's Department,KY,Kentucky
Deputy Sheriff Ebenezer Parker,Assault,1808-01-18,Cumberland County Sheriff's Office,ME,Maine
Night Watchman George Workner,Other,1808-03-15,Baltimore City Police Department,MD,Maryland
Deputy Sheriff John Tileston Downes,Gunfire,1811-01-28,Hancock County Sheriff's Department,ME,Maine
Sheriff John Coor Pender,Gunfire,1816-01-01,Wayne County Sheriff's Office,NC,North Carolina
Sheriff Caleb Hewitt,Assault,1816-09-09,Davidson County Sheriff's Office,TN,Tennessee
Deputy Sheriff William Huddleston,Assault,1818-10-09,Schoharie County Sheriff's Department,NY,New York
"Constable Jacob Dearduff, Sr.",Other,1823-02-22,Jamestown Police Department,OH,Ohio
Constable Elijah Chenault,Assault,1823-08-04,Alexandria Police Department,VA,Virginia
Constable Robert Murphy,Other,1824-11-11,Franklin County Sheriff's Department,IN,Indiana
Constable William Davidson,Gunfire,1825-04-14,Pennsylvania State Constable - Venango County,PA,Pennsylvania
Watch Officer Jonathan Houghton,Assault,1825-12-19,Boston Watch,MA,Massachusetts
Watchman Gerrard Arnold,Assault,1827-09-09,Alexandria Police Department,VA,Virginia
Watchman Steven Heimer,Gunfire,1828-01-08,Philadelphia Police Department,PA,Pennsylvania
Sheriff Thomas Griffin Thornton,Gunfire,1830-06-12,Caroline County Sheriff's Office,VA,Virginia
Town Sergeant John Smith,Assault,1832-06-21,Foster Police Department,RI,Rhode Island
Guard Ezra Hoskins,Assault,1833-05-01,Connecticut Department of Correction,CT,Connecticut
Sheriff William Gresham,Other,1834-01-23,Harrison County Sheriff's Department,IN,Indiana
Constable Moore C. Wisdom,Other,1834-08-30,Purdy Constable's Office,TN,Tennessee
Watchman Lewis L. Leuba,Other,1836-04-13,New York City Watch,NY,New York
Constable William Mull,Other,1836-04-28,St. Louis Metropolitan Police Department,MO,Missouri
Deputy Sheriff George Hammond,Other,1836-04-28,St. Louis Metropolitan Police Department,MO,Missouri
Watchman Kim Hudson,Other,1836-08-28,New York City Watch,NY,New York
Private David Clark,Gunfire,1837-01-07,Texas Rangers,TX,Texas
Second Lieutenant Alfred H. Miles,Assault,1837-11-10,Texas Rangers,TX,Texas
Private Jesse Blair,Assault,1837-11-10,Texas Rangers,TX,Texas
Private Alexander Bostwick,Gunfire,1837-11-10,Texas Rangers,TX,Texas
Private James Christian,Assault,1837-11-10,Texas Rangers,TX,Texas
Private Joseph Cooper,Gunfire,1837-11-10,Texas Rangers,TX,Texas
Private James Joslen,Assault,1837-11-10,Texas Rangers,TX,Texas
Private Westley Nicholson,Assault,1837-11-10,Texas Rangers,TX,Texas
Private William Nicholson,Gunfire,1837-11-10,Texas Rangers,TX,Texas
Private William Sanders,Gunfire,1837-11-10,Texas Rangers,TX,Texas
Private Lewis F. Scheuster,Assault,1837-11-10,Texas Rangers,TX,Texas
Deputy Sheriff Nester Young,Gunfire,1838-01-15,Ashtabula County Sheriff's Department,OH,Ohio
Private Julius Bullock,Assault,1838-10-12,Texas Rangers,TX,Texas
Private John W. Carpenter,Assault,1838-10-12,Texas Rangers,TX,Texas
Private Thomas M. Scott,Assault,1838-10-12,Texas Rangers,TX,Texas
Private John Wilson,Assault,1838-10-12,Texas Rangers,TX,Texas
Private James Hall,Assault,1838-12-17,Texas Rangers,TX,Texas
Captain Jacob Shipman Burleson,Gunfire,1839-02-25,Texas Rangers,TX,Texas
Private Edward Blakey,Gunfire,1839-02-25,Texas Rangers,TX,Texas
Private John B. Walters,Gunfire,1839-02-25,Texas Rangers,TX,Texas
Private James Gilleland,Gunfire,1839-03-07,Texas Rangers,TX,Texas
Captain John Bird,Assault,1839-05-26,Texas Rangers,TX,Texas
First Sergeant William H. Weaver,Gunfire,1839-05-26,Texas Rangers,TX,Texas
