Region and State,Total,Inter-governmental,Direct: Total,Elementary and Secondary Education,Higher Education,Public Welfare,Health and hospitals,Highways,Police,All Other,Exhibit: Personal Income,year
Connecticut,25106.4625965,0.0,25106.4625965,6586.940427333,1836.176298138,4172.489828124,1754.316009711,1280.984652027,805.9644786270001,8669.589272408999,163013.1,2004
Maine,9268.781515559,3.3118816936999997,9265.469217224,2076.2590063224998,656.5612761159,2307.6170037233996,578.7001832545,695.1551763762,207.0869751107,2744.0883463969,41664.13,2004
Massachusetts,48241.544304510004,182.95106286400002,48058.598716600005,10341.013728367,2674.599890787,10305.484014384001,1927.087996305,3227.687956298,1479.74319235,18102.979200632,273747.7,2004
New Hampshire,7433.015442432999,0.0,7433.015442432999,2059.0720746051998,612.6369190994,1515.3971094879,177.8620450212,524.8090156479,239.01882758289997,2304.2179716155997,49312.43,2004
Rhode Island,7650.3406594299995,26.559897767600003,7623.782287348,1804.823130269,493.8369663792,1921.4522588539999,321.231195973,359.441991825,283.9991274334,2438.9960909288,38142.14,2004
Vermont,4398.146730654,0.46102977900000003,4397.686746294,1154.68619388,518.7201810959999,1015.5720784662001,111.24491754419999,333.176080719,114.54906883560001,1149.7382257530003,20908.38,2004
Delaware,6191.906204999999,1.018126788,6190.8902398400005,1348.7261743200002,694.892068276,1020.4051439119999,348.493960512,497.7370808880001,201.615969972,2079.019224352,30880.4,2004
District of Columbia,6672.090935408999,0.0,6672.090935408999,1234.763968317,101.5308935463,1685.8021365066,621.0379051011,71.2719704196,421.06096637490003,2536.6230951435,29345.97,2004
Maryland,33981.34698703999,0.0,33981.34698703999,8179.871996283999,3684.335811514,5609.780669518,1736.452174046,1939.7183891739999,1429.1364387659999,11402.053826752,231901.4,2004
New Jersey,62991.48079998,0.0,62991.48079998,19523.40717165,4389.260466978,9956.076694457,3109.966019049,3171.445849502,2679.2873664599997,20162.048389073,371906.3,2004
